city,education,experience,job_description,jobname,salary
北京-海淀区,大专,不限,"五险一金,年底双薪,加班补助,全勤奖,房补",java开发初级工程师,5.9K-11K
北京,本科,3-5年,"五险一金,年底双薪,加班补助,餐补,带薪年假",JAVA开发工程师(CS1wgy),10K-20K
北京,本科,5-10年,"五险一金,周末双休,绩效奖金,餐补,采暖补贴",高级Java工程师,15K-30K
北京,本科,3-5年,"餐补,通讯补贴,绩效奖金,带薪年假,弹性工作",高级JAVA开发工程师-商城方向,20K-40K
北京,大专,1-3年,,java初级开发工程师,8K-10K
北京,不限,不限,"五险一金,绩效奖金,全勤奖,餐补,带薪年假",高级JAVA工程师,15K-20K
北京,本科,5-10年,"五险一金,年底双薪,绩效奖金,年终分红,餐补",Java架构师/技术经理,30K-50K
北京-朝阳区,本科,5-10年,"五险一金,绩效奖金,加班补助,全勤奖,包住",JAVA高级开发工程师,20K-40K
北京-海淀区,本科,5-10年,"餐补,绩效奖金,节日福利,加班补助,每年多次调薪",java技术专家,40K-60K
北京,本科,不限,"周末双休,五险一金,补充医疗保险,带薪年假,定期体检",java,6K-8K
北京,本科,1-3年,"五险一金,节日福利,加班补助,年底双薪,周末双休",JAVA开发工程师,10K-15K
北京,本科,3-5年,,java后端研发工程师(U8政务产品中心),15K-20K
北京-海淀区,本科,3-5年,"节日福利,五险一金,年底双薪,带薪年假,定期体检",Java中高级开发工程师,10K-15K
北京-丰台区,本科,3-5年,"五险一金,绩效奖金,餐补,交通补助,带薪年假",中级java工程师,10K-15K
北京,本科,1-3年,"五险一金,绩效奖金,带薪年假,定期体检,周末双休",java web工程师,7K-14K
北京,本科,1-3年,"创业公司,五险一金,健身俱乐部,全勤奖,股票期权",java工程师,15K-20K
北京-朝阳区,大专,3-5年,"周末双休,五险一金,年底双薪,绩效奖金,带薪年假",java高级开发工程师,15K-20K
北京,本科,10年以上,"五险一金,绩效奖金,餐补,节日福利,通讯补贴",系统架构师java,30K-50K
北京,本科,1-3年,"五险一金,年底双薪,绩效奖金,餐补,带薪年假",高级java开发工程师,10K-15K
北京,本科,3-5年,"五险一金,绩效奖金,全勤奖,餐补,带薪年假",高级Java工程师,15K-25K
北京,本科,3-5年,"五险一金,周末双休,节日福利",web中高级java,10K-15K
北京,大专,3-5年,"五险一金,绩效奖金,加班补助,带薪年假,节日福利",Java工程师,10K-15K
北京,本科,3-5年,"餐补,绩效奖金,节日福利,加班补助,五险一金",高级java开发工程师-核心资产方向,20K-40K
北京-西城区,本科,3-5年,"五险一金,交通补助,餐补,通讯补贴,定期体检",java,9K-18K
北京,大专,不限,"五险一金,年底双薪,绩效奖金,加班补助,全勤奖",java+人工智能AI开发签约实习生,7K-13K
北京-朝阳区,本科,5-10年,"节日福利,周末双休",技术经理java方向,20K-35K
北京-海淀区,本科,3-5年,"五险一金,餐补,通讯补贴,带薪年假,弹性工作",java中级工程师,8K-10K
北京,本科,3-5年,"五险一金,绩效奖金,包吃,包住,交通补助",中级java工程师,10K-15K
北京,本科,5-10年,"五险一金,绩效奖金,带薪年假,员工旅游,全勤奖",java软件工程师,15K-20K
北京-西城区,本科,5-10年,"五险一金,年底双薪,交通补助,餐补,带薪年假",高级爬虫工程师（java/python/c）,15K-30K
北京,本科,3-5年,"周末双休,五险一金,全勤奖,餐补,带薪年假",高级Java工程师,15K-25K
北京,本科,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,全勤奖",java高级开发工程师,15K-30K
北京,本科,10年以上,"五险一金,绩效奖金,餐补,节日福利,通讯补贴",首席架构师（Java）,30K-50K
北京,本科,3-5年,"五险一金,交通补助,餐补,周末双休,不加班",Java 高级开发工程师,10K-20K
北京-朝阳区,大专,3-5年,"五险一金,年底双薪,绩效奖金,股票期权,带薪年假",对日JAVA开发工程师(北京),6K-12K
北京-东城区,本科,5-10年,"五险一金,绩效奖金,年终分红,餐补,带薪年假",java软件工程师,20K-30K
北京,本科,1-3年,"五险一金,年底双薪,绩效奖金,餐补,带薪年假",JAVA开发工程师,8K-10K
北京-海淀区,本科,1-3年,"五险一金,年底双薪,餐补,定期体检,绩效奖金",java软件工程师,8K-16K
北京-海淀区,本科,不限,"五险一金,年底双薪,绩效奖金,通讯补贴,补充医疗保险",资深java开发工程师,50K-70K
北京,不限,1-3年,"五险一金,年底双薪,绩效奖金,餐补,带薪年假",Java技术经理、架构师,8K-10K
北京-海淀区,不限,不限,"加班补助,弹性工作,定期体检,员工旅游,节日福利",java开发工程师,10K-20K
北京-通州区,本科,5-10年,"每年多次调薪,周末双休,五险一金,带薪年假,员工旅游",高级java工程师,20K-40K
北京-海淀区,本科,3-5年,五险一金,java开发工程师,10K-18K
北京,本科,3-5年,"五险一金,年底双薪",java开发工程师,15K-25K
北京,本科,3-5年,"五险一金,交通补助,餐补,带薪年假,全勤奖",中高级java工程师,10K-15K
北京,本科,1-3年,"五险一金,绩效奖金,餐补,节日福利,通讯补贴",中级java工程师,10K-15K
北京,本科,1-3年,"五险一金,绩效奖金,交通补助,餐补,带薪年假",java开发工程师,10K-15K
北京-海淀区,本科,3-5年,"五险一金,餐补,弹性工作,创业公司,加班补助",java软件工程师,10K-15K
北京,本科,3-5年,"五险一金,弹性工作,节日福利,定期体检,绩效奖金",Java工程师,15K-20K
北京-朝阳区,本科,3-5年,"五险一金,年底双薪,股票期权,弹性工作,补充医疗保险",java工程师,10K-15K
北京-朝阳区,本科,3-5年,"五险一金,带薪年假,弹性工作,节日福利,全勤奖",java开发工程师,15K-20K
北京,本科,3-5年,"餐补,通讯补贴,绩效奖金,带薪年假,弹性工作",高级JAVA工程师-商城方向,20K-40K
北京-顺义区,本科,3-5年,"五险一金,年底双薪,加班补助,带薪年假,免费班车",java开发工程师(顺义区）,13K-17K
北京-朝阳区,本科,3-5年,"节日福利,五险一金,年底双薪,绩效奖金,餐补",JAVA开发工程师,15K-20K
北京,本科,3-5年,"餐补,加班补助,周末双休",高级JAVA工程师,10K-15K
北京-石景山区,不限,不限,"五险一金,包住,加班补助,弹性工作,定期体检",java软件工程师,6K-8K
北京,大专,3-5年,,java开发 急,8K-10K
北京,大专,5-10年,"五险一金,绩效奖金,交通补助,餐补,通讯补贴",java中高级软件工程师,15K-25K
北京-海淀区,本科,5-10年,"五险一金,餐补,带薪年假,员工旅游,节日福利",高级JAVA架构师,20K-30K
北京-海淀区,大专,3-5年,"五险一金,绩效奖金,餐补,带薪年假,定期体检",java工程师,15K-20K
北京,大专,不限,"五险一金,年底双薪,带薪年假,员工旅游,高温补贴",java开发（初级岗可培养）,4K-6K
北京-海淀区,本科,3-5年,"五险一金,绩效奖金,带薪年假,高温补贴,节日福利",java软件工程师,10K-20K
北京-海淀区,不限,不限,"五险一金,年底双薪,绩效奖金,年终分红,通讯补贴",技术经理（java方向）,15K-20K
北京-海淀区,本科,10年以上,"五险一金,绩效奖金,股票期权,交通补助,餐补",Java资深系统架构工程师,25K-35K
北京,本科,3-5年,,JAVA开发组长、项目经理,10K-15K
北京,本科,无经验,餐补,Java开发程序员（校园）,2.5K-3.5K
北京,本科,5-10年,"五险一金,年底双薪,绩效奖金,年终分红,带薪年假",JAVA高级工程师,15K-30K
北京,本科,3-5年,"餐补,节日福利,员工旅游,定期体检,带薪年假",Java开发工程师（中高级）,18K-35K
北京-顺义区,本科,3-5年,"健身俱乐部,弹性工作,节日福利,年底双薪",JAVA高级工程师/后端负责人,15K-20K
北京-西城区,本科,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,交通补助",Java开发工程师,15K-25K
北京,本科,1-3年,"周末双休,五险一金,交通补助,餐补,员工旅游",java研发工程师（初级）,8K-10K
北京,本科,不限,"绩效奖金,创业公司,定期体检,五险一金",java开发实习工程师,4K-6K
北京-昌平区,本科,1-3年,"餐补,五险一金",JAVA软件工程师（物联网方向）,10K-12K
北京-昌平区,本科,3-5年,"五险一金,弹性工作,节日福利",Java高级研发工程师/架构师,10K-20K
北京,本科,3-5年,"每年多次调薪,五险一金,带薪年假,餐补,定期体检",中级/高级java开发工程师,15K-30K
北京,本科,1-3年,"绩效奖金,餐补,通讯补贴,带薪年假,补充医疗保险",Java软件工程师,10K-15K
北京-顺义区,本科,5-10年,"五险一金,年底双薪,加班补助,带薪年假,免费班车",高级java开发工程师(顺义区）,17K-20K
北京,本科,3-5年,,高级java开发工程师(001546),15K-20K
